Name,Description,Price,Stock
Laptop Pro 15,High-performance laptop with 16GB RAM,1299.99,50
Wireless Mouse,Ergonomic wireless mouse with USB receiver,29.99,200
USB-C Cable,Durable USB-C charging cable 2m,15.99,150
Monitor 27 4K,Ultra HD 4K monitor with HDR,599.99,30
Mechanical Keyboard,RGB backlit mechanical gaming keyboard,89.99,75
Webcam HD,1080p HD webcam with built-in microphone,79.99,100
Headphones Pro,Noise-canceling over-ear headphones,249.99,60
Desk Lamp LED,Adjustable LED desk lamp with USB port,39.99,120
Phone Stand,Aluminum adjustable phone stand,19.99,180
External SSD 1TB,Portable external SSD storage 1TB,129.99,90
